,server,hour,application,success,error
317,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,19,62,0,0
318,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,19,270,0,0
319,cert-manager-cainjector-658b6dbf77-8t625,19,15,0,0
320,fsm-backend-prod-579b7846b9-qbxjw,19,43830,0,0
321,fsm-frontend-prod-c97f7b8c6-v7r8w,19,1164,0,0
322,fsm-backend-prod-579b7846b9-stpj9,19,48760,0,0
323,learnbuddy-backend-stg-75587bf7c-r7529,19,596,100,0
324,nginx-ingress-controller-5b6697898-zqxl4,19,5369,0,0
325,fsm-backend-cron-prod-6bd6459455-p9p49,19,5050,0,0
326,fsm-frontend-prod-c97f7b8c6-c2t4j,20,22,0,0
327,fsm-frontend-prod-c97f7b8c6-v7r8w,20,1068,0,2
328,cert-manager-5695c78d49-q9s9j,20,1368,0,0
329,learnbuddy-frontend-prod-5bfc5cdd8f-fx6jc,20,6,0,0
330,centralized-user-prod-78bc9f7b96-txbcl,20,4330,0,0
331,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,20,90,0,0
332,fsm-backend-prod-579b7846b9-9kt4p,20,12338,0,0
333,learnbuddy-backend-prod-5969b7c99c-8vztk,20,138,3,1
334,fsm-backend-prod-579b7846b9-tbgf4,20,8896,0,0
335,cert-manager-cainjector-658b6dbf77-8t625,20,45,0,0
336,runner-gitlab-runner-6bf97bb9b9-7q8hq,20,8,0,0
337,centralized-user-stg-5588f4454b-lb6s7,20,1969,0,0
338,learnbuddy-backend-stg-75587bf7c-r7529,20,596,100,0
339,fsm-backend-prod-579b7846b9-stpj9,20,9941,0,0
340,fsm-backend-prod-579b7846b9-88vqc,20,10720,0,0
341,nginx-ingress-controller-5b6697898-7wjsr,20,3376,0,0
342,fsm-backend-cron-prod-6bd6459455-sl24t,20,512,0,0
343,learnbuddy-backend-prod-5969b7c99c-57xvx,20,356,23,2
344,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,20,306,0,0
345,learnbuddy-backend-prod-5969b7c99c-f4g5n,20,523,12,0
346,learnbuddy-backend-prod-5969b7c99c-c9dzl,20,415,19,3
347,fsm-backend-prod-579b7846b9-qbxjw,20,12852,0,0
348,fsm-backend-cron-prod-6bd6459455-p9p49,20,2211,0,0
349,fsm-backend-prod-579b7846b9-krvsh,20,14738,0,0
350,fsm-frontend-prod-c97f7b8c6-fklwx,20,1130,0,0
351,nginx-ingress-controller-5b6697898-zqxl4,20,3096,0,0
352,nginx-ingress-controller-5b6697898-zqxl4,21,6027,0,0
353,fsm-backend-cron-prod-6bd6459455-sl24t,21,31459,0,0
354,centralized-user-prod-78bc9f7b96-txbcl,21,581,0,0
355,cert-manager-5695c78d49-q9s9j,21,1363,0,0
356,learnbuddy-frontend-prod-5bfc5cdd8f-fx6jc,21,40,0,0
357,nginx-ingress-controller-5b6697898-7wjsr,21,6163,0,0
358,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,21,306,0,0
359,learnbuddy-backend-stg-75587bf7c-r7529,21,590,100,0
360,learnbuddy-frontend-prod-5bfc5cdd8f-hxsc8,21,2,0,0
